Li,0,0.993162393,0.003418803,0.001709402,0.001709402,0,0,0,0,0,0
Be,0.023529412,0,0.976470588,0,0,0,0,0,0,0,0
Na,0,0.998743719,0,0.001256281,0,0,0,0,0,0,0
Mg,0.002141328,0.016416845,0.981441827,0,0,0,0,0,0,0,0
Al,0,0.020121951,0.016463415,0.962804878,0.000609756,0,0,0,0,0,0
K,0,0.998137803,0,0.001862197,0,0,0,0,0,0,0
Ca,0,0.001176471,0.998823529,0,0,0,0,0,0,0,0
Sc,0,0.003656307,0.010968921,0.985374771,0,0,0,0,0,0,0
Ti,0.004095004,0.00020475,0.028460278,0.128992629,0.838247338,0,0,0,0,0,0
V,0.002768166,0.007612457,0.037197232,0.133564014,0.391868512,0.426816609,0.00017301,0,0,0,0
Cr,0.160139589,0.017836371,0.138037999,0.612252811,0.014928267,0.018805739,0.037999225,0,0,0,0
Mn,0.001919631,0.044599437,0.64864346,0.260621961,0.039928334,0.003519324,0.000319939,0.000447914,0,0,0
Fe,0.016919249,0.011083465,0.545216014,0.42053834,0.0059715,0.000226193,4.52E-05,0,0,0,0
Co,0.002508241,0.021678372,0.655403469,0.31990827,0.00035832,0.000143328,0,0,0,0,0
Ni,0.020168417,0.010846588,0.935890772,0.031222927,0.001871296,0,0,0,0,0,0
Cu,6.78E-05,0.236206984,0.75977341,0.003951765,0,0,0,0,0,0,0
Zn,7.78E-05,0.000778362,0.999104884,3.89E-05,0,0,0,0,0,0,0
Ga,0.003392706,0.100932994,0.066157761,0.828668363,0.000848176,0,0,0,0,0,0
Rb,0,0.9875,0.0125,0,0,0,0,0,0,0,0
Sr,0,0,1,0,0,0,0,0,0,0,0
Y,0.000608273,0.000608273,0.001824818,0.996350365,0.000608273,0,0,0,0,0,0
Zr,0.001476378,0,0.030019685,0.039370079,0.928149606,0,0.000984252,0,0,0,0
Nb,0.006417112,0.03315508,0.02459893,0.100534759,0.19144385,0.643850267,0,0,0,0,0
Mo,0.067368705,0.007830431,0.106115836,0.052922911,0.132847307,0.184150128,0.448764682,0,0,0,0
Tc,0,0.1488,0.0592,0.2256,0.056,0.4288,0.04,0.0416,0,0,0
Ru,0.01519372,0.011901747,0.819870009,0.119355111,0.027348696,0.000759686,0.005571031,0,0,0,0
